# q1 [Angstrom]    q2 [Angstrom]
   0.4241260411    2.7989628099
   0.4320786915    2.7830575091
   0.0079526504    1.9348054269
  -0.0040898203    1.9263700244
  -0.0005131649    1.9392871326
  -1.0116167836    3.9614943699
  -1.0061610286    3.9505828599
  -0.3966200623    2.7315009272
   0.5039091532    2.9531506740
   0.5106248731    2.9397192342
  -1.0111036187    3.9625206998
  -1.0056478637    3.9516091897
  -0.3961068973    2.7325272571
   0.5007017654    2.9209526149
   0.4945877293    2.9331806872
   0.0000281496    1.9214383186
  -0.4677925189    2.8570796556
  -0.4678206685    2.8570233565
   0.0054557550    5.9738164271
   0.6149967213    4.7547344945
   0.0067157199    1.9319009278
  -0.0123177601    3.7591814331
   0.4448193229    2.8449072671
   0.4495905498    2.8353648133
  -0.5143443062    4.7632345253
  -0.0061140361    1.9317771563
   0.6095409663    4.7438229844
   0.4571370830    2.8695427873
   0.4619083099    2.8600003335
  -0.5020265461    4.7878700455
   0.0047712269    1.9457261675
  -0.9591636291    3.8735958795
   0.4189322548    2.7565193895
   0.4073166451    2.7797506090
  -0.9639348560    3.8640534257
  -0.0116156098    1.9418860993
  -0.0000633099    1.9213802906
  -0.4878919056    2.8970374820
  -0.4878285957    2.8971641018
  -0.0040831955    1.9402149021
  -0.3785691714    2.6891868539
  -0.3744859759    2.6973532449
   0.4176539877    2.7914370809
   0.4269194105    2.7729062354
   0.0092654227    1.9375982599
   0.4040038502    2.7266787675
   0.3938260581    2.7470343517
  -0.0101777921    1.9390266512
   0.3836953316    2.7290547277
   0.3943541479    2.7077370953
   0.0106588162    1.9403464320
   0.3873506471    2.6930694840
   0.3752305816    2.7173096151
  -0.0121200655    1.9426083208
  -0.0065140684    1.9313168571
  -0.8754559778    3.6692006760
  -0.5348941046    2.9880769296
  -0.8689419094    3.6822288127
  -0.5283800363    3.0011050664
   0.4808584593    2.9066586398
   0.4841020532    2.9001714520
  -0.4804022297    4.8291800180
   0.4784528284    4.7261052256
  -0.0371873106    5.7573855037
   0.9368609209    3.8092890407
   0.9381242137    3.8067624552
   0.3405618732    4.7389888852
   0.0032435939    1.9384545334
  -0.9612606891    3.8674630993
  -0.5156401391    4.8004798469
   0.4584080925    2.8523833838
   0.4596713852    2.8498567983
  -0.9645042830    3.8609759115
  -0.0795602753    4.1796164008
  -0.3937136578    4.8079231659
   0.5251504271    2.9701949960
   0.5197133071    2.9810692360
   0.0019844615    1.9271475649
  -0.4251014232    2.7813193341
  -0.9536317669    3.8383800216
   0.9855144111    3.9252267792
   0.9939752777    3.9083050459
   0.4928593400    4.9105369213
   0.4469312159    5.0023931695
  -0.3141533825    4.9670437164
   0.6047107024    3.1293155466
   0.5992735824    3.1401897865
  -0.4270858846    2.7773504112
  -0.9556162283    3.8344110986
  -0.5285303437    4.6885828679
   0.0084608667    1.9372762238
  -0.4926550710    2.9395080992
  -0.5385831951    3.0313643474
   0.9188640849    3.7576223117
   0.9134269649    3.7684965516
   0.9740482315    3.8836636619
   0.9753115243    3.8811370764
  -0.5011159377    2.9225863659
  -0.5470440618    3.0144426141
  -0.0054371200    1.9307683818
  -0.0459281241    4.0166744895
   0.0012632927    1.9330406133
   0.0028980703    1.9369810247
  -0.9540314561    3.8508400775
  -0.4603979733    2.8635731119
   0.4984139992    2.9315158591
   0.4992566630    2.9298305317
  -0.4374858357    4.8033155290
   0.3723332088    4.8165311788
   0.9107305874    3.7397364217
   0.9035511083    3.7540953798
  -0.9569295264    3.8450439369
  -0.4632960436    2.8577769712
  -0.3942082363    4.8261662969
   0.5291832072    2.9793834100
   0.5239167359    2.9899163527
  -0.0083719421    4.0544937085
   0.4936334828    4.7716360241
   0.0008426637    1.9330025332
  -0.9358998349    3.8064875305
   0.5383973786    2.9950700041
   0.5312178995    3.0094289622
  -0.9367424986    3.8048022031
   0.5112321882    2.9735866445
   0.5188139312    2.9584231586
   0.0128933932    3.9702642346
  -0.4363305246    4.8687120702
   0.0075817429    1.9359587821
  -0.4983387951    2.9477998581
  -0.9475627128    3.8462476937
   0.9233914435    3.7677998825
   0.9181249721    3.7783328252
   0.3858362942    4.8429101810
  -0.5034805260    4.6799854449
   0.4344271541    2.8041700847
   0.4380642062    2.7968959804
  -0.5059205380    2.9326363722
  -0.9551444558    3.8310842078
  -0.0052664714    1.9315499383
  -0.5375551493    2.9961272941
  -0.4492239178    4.8429252838
  -0.5322886779    3.0066602368
   0.9379076801    3.8111311368
   0.9415447323    3.8038570324
  -0.0071794791    1.9326342051
   0.0036370522    1.9280416722
   0.0119039807    1.9432898406
  -0.3635464452    2.6941906924
   0.3743734615    2.6916937200
   0.3766729164    2.6870948103
  -0.3754504259    2.6703827310
   0.0120199184    1.9465792725
  -0.4384176737    2.8474544568
  -0.4754975777    2.9216142648
  -0.4504375921    2.8234146200
  -0.4875174961    2.8975744279
  -0.0370799040    3.7984496122
   0.0069779990    1.9325169613
  -0.4488501867    2.8441733327
  -0.4558281857    2.8302173347
   0.0022994549    1.9383478873
   0.4773833247    2.8758678087
   0.4773431708    2.8759481166
  -0.0000401539    1.9211814672
   0.0045538923    1.9262663782
   0.0059639506    1.9306192363
  -0.9148049453    3.7721570281
  -0.4727682577    2.8880836530
   0.4760916690    2.8938035747
   0.4777465792    2.8904937542
  -0.0709294452    3.9878458031
  -0.4522710474    4.7505290075
  -0.4444127776    4.7348124679
   0.4373591985    4.7318652327
   0.9162347814    3.7741140669
   0.9220363214    3.7625109870
  -0.9207688959    3.7602291269
  -0.4787322083    2.8761557518
   0.4420366875    4.7176935435
   0.0016549102    1.9383104163
  -0.5470211142    3.0356624652
  -0.9283627164    3.7983456696
  -0.9205044466    3.7826291300
   0.4788755829    2.8993956700
   0.4846771229    2.8877925900
  -0.5486760244    3.0323526447
  -0.9300176266    3.7950358491
  -0.9221593568    3.7793193095
  -0.0172926177    5.7731296180
   0.9515434699    3.8354574428
   0.9508547358    3.8368349111
   0.5154049009    4.7077345808
  -0.0148271735    4.0708933871
  -0.4471486535    4.9355363471
  -0.4108356369    4.8629103139
   0.5208878211    2.9994633981
   0.5303022431    2.9806345539
   0.0037766270    1.9257804050
  -0.5713158394    3.0759653376
  -0.9090833976    3.7515004542
   0.9688360876    3.8700426782
   0.9681473534    3.8714201465
   0.5326975186    4.7423198162
  -0.4323214800    4.9651906940
  -0.3960084634    4.8925646608
   0.5357149945    3.0291177450
   0.5451294166    3.0102889009
  -0.5750924663    3.0684120837
  -0.9128600246    3.7439472002
  -0.3377675583    4.8941321329
  -0.0006887342    1.9337479713
  -0.4361385690    2.8046476410
   0.0363130166    5.7572076208
   0.9680364745    3.8937607050
   0.9774508966    3.8749318609
  -0.3813416022    4.8923878979
  -0.3734833324    4.8766713584
  -0.4354498348    2.8060251093
   0.9317234579    3.8211346718
   0.9411378800    3.8023058277
   0.0078582698    5.6393545628
   0.0058015400    1.9300414242
   0.0094144221    1.9388589118
   0.0008223899    1.9342958948
  -0.9175622869    3.7710652484
  -0.4373909801    2.8107226349
   0.0639042087    3.9077436852
   0.5230341130    2.9894838766
   0.5238720105    2.9878080816
  -0.3994461156    4.8344443338
  -0.4165986235    4.8687493496
   0.4413284414    4.7239897652
   0.9220693009    3.7625080463
   0.9144530483    3.7777405515
  -0.9183846768    3.7694204685
  -0.4382133701    2.8090778551
   0.4831505827    2.8876211211
   0.4831727612    2.8875767640
   0.0070739979    1.9318667370
  -0.9134447844    3.7729043018
  -0.4837833510    2.9135814348
   0.4591299043    2.8616754591
   0.4599678018    2.8599996641
  -0.4633503243    4.7066359163
  -0.4805028322    4.7409409322
   0.4192458175    4.7270602466
   0.9063632725    3.7528253366
   0.9118551959    3.7418414899
  -0.9205187824    3.7587563059
  -0.4908573489    2.8994334389
   0.0000221785    1.9212755987
   0.4801713067    4.6458472087
   0.0008378975    1.9417398555
  -0.9224802286    3.7883761078
  -0.9396327365    3.8226811236
   0.4807408595    2.8798511635
   0.4731246069    2.8950836687
   0.4296614335    4.7404710037
  -0.9233181261    3.7867003127
  -0.9404706340    3.8210053285
   0.4871174550    2.9143337015
   0.4926093783    2.9033498548
  -0.0076162526    1.9336019497
  -0.0171525079    5.6676415808
   0.0054919233    1.9291149448
